# idx	type	lexeme	line	column
132	SYMBOL	;	18	14
133	KEYWORD	else	19	3
134	KEYWORD	if	20	7
135	SYMBOL	(	20	9
136	INTEGER	4	20	10
137	RELATIONAL_OPERATOR	>	20	11
138	INTEGER	2	20	12
139	LOGICAL_OPERATOR	&&	20	14
140	SYMBOL	)	20	17
141	IDENTIFIER	then	20	18
142	IDENTIFIER	b	21	14
143	ASSIGNMENT	=	21	15
144	REAL	3.2	21	16
145	SYMBOL	;	21	19
146	KEYWORD	else	22	8
147	IDENTIFIER	b	23	12
148	ASSIGNMENT	=	23	13
149	REAL	5.0	23	14
150	SYMBOL	;	23	17
151	KEYWORD	end	24	8
152	SYMBOL	;	24	11
153	IDENTIFIER	y	25	8
154	ASSIGNMENT	=	25	9
155	IDENTIFIER	y	25	10
156	ARITHMETIC_OPERATOR	+	25	11
157	INTEGER	1	25	12
158	SYMBOL	;	25	13
159	KEYWORD	end	26	1
160	SYMBOL	;	26	4
161	IDENTIFIER	a	27	1
162	ARITHMETIC_OPERATOR	++	27	2
163	SYMBOL	;	29	2
164	IDENTIFIER	c	30	1
165	ARITHMETIC_OPERATOR	--	30	2
166	SYMBOL	;	30	4
167	IDENTIFIER	x	31	1
168	ASSIGNMENT	=	31	2
169	INTEGER	3	31	3
170	ARITHMETIC_OPERATOR	+	31	4
171	INTEGER	4	31	5
172	SYMBOL	;	31	6
173	KEYWORD	do	32	1
174	IDENTIFIER	y	33	4
175	ASSIGNMENT	=	33	5
176	SYMBOL	(	33	6
177	IDENTIFIER	y	33	7
178	ARITHMETIC_OPERATOR	+	33	8
179	INTEGER	1	33	9
180	SYMBOL	)	33	10
181	ARITHMETIC_OPERATOR	*	33	11
182	INTEGER	2	33	12
183	ARITHMETIC_OPERATOR	+	33	13
184	INTEGER	1	33	14
185	SYMBOL	;	33	15
186	KEYWORD	while	34	4
187	SYMBOL	(	34	9
188	IDENTIFIER	x	34	10
189	RELATIONAL_OPERATOR	>	34	11
190	INTEGER	7	34	12
191	SYMBOL	)	34	13
192	SYMBOL	{	34	14
193	IDENTIFIER	x	34	15
194	ASSIGNMENT	=	34	16
195	INTEGER	6	34	17
196	ARITHMETIC_OPERATOR	+	34	18
197	INTEGER	8	34	19
198	ARITHMETIC_OPERATOR	/	34	20
199	INTEGER	9	34	21
200	ARITHMETIC_OPERATOR	*	34	22
201	INTEGER	8	34	23
202	ARITHMETIC_OPERATOR	/	34	24
203	INTEGER	3	34	25
204	SYMBOL	;	34	26
205	KEYWORD	cin	35	5
206	IDENTIFIER	x	35	9
207	SYMBOL	;	35	10
208	IDENTIFIER	mas	36	4
209	ASSIGNMENT	=	36	7
210	INTEGER	36	36	8
211	ARITHMETIC_OPERATOR	/	36	10
212	INTEGER	7	36	11
213	SYMBOL	;	36	12
214	SYMBOL	}	37	4
215	SYMBOL	;	37	5
216	IDENTIFIER	until	39	2
217	SYMBOL	(	39	7
218	IDENTIFIER	y	39	8
219	RELATIONAL_OPERATOR	==	39	9
220	INTEGER	5	46	1
221	SYMBOL	)	46	2
222	SYMBOL	;	46	3
223	KEYWORD	while	47	2
224	SYMBOL	(	47	7
225	IDENTIFIER	y	47	8
226	RELATIONAL_OPERATOR	==	47	9
227	INTEGER	0	47	11
228	SYMBOL	)	47	12
229	SYMBOL	{	47	13
230	KEYWORD	cin	48	5
231	IDENTIFIER	mas	48	9
232	SYMBOL	;	48	12
233	KEYWORD	cout	49	5
234	IDENTIFIER	x	49	10
235	SYMBOL	;	49	11
236	SYMBOL	}	50	1
237	SYMBOL	;	50	2
238	SYMBOL	}	51	1
